type,parameter,sel_value,rej_value,s2_value
main,att0_star_rating_l0,0.628343,0.337243,0.185160
main,att0_star_rating_l1,0.551051,0.299290,0.080062
main,att0_star_rating_l2,0.361016,0.273589,-0.035003
main,att0_star_rating_l3,0.350489,0.313975,0.273384
main,att1_price_band_l0,0.340894,0.398981,0.078282
main,att1_price_band_l1,0.318026,0.492545,-0.071157
main,att1_price_band_l2,0.270185,0.378064,0.117725
main,att2_location_l0,0.385070,0.338284,0.661487
main,att2_location_l1,0.408532,0.340508,0.076554
main,att3_amenities_l0,0.360601,0.306643,0.538684
main,att3_amenities_l1,0.317683,0.291776,-0.023431
main,att3_amenities_l2,0.345259,0.298253,-0.108841
main,att4_review_score_l0,0.646931,0.317771,0.898418
main,att4_review_score_l1,0.546743,0.260836,0.280336
threshold,tau,0.6116,1.6056,
interaction,int_att0_star_rating__att1_price_band,0.000000,0.000000,-0.021946
interaction,int_att0_star_rating__att2_location,0.000000,0.000000,0.003686
interaction,int_att0_star_rating__att3_amenities,0.000000,0.000000,-0.003392
interaction,int_att0_star_rating__att4_review_score,0.000000,0.000000,0.111208
interaction,int_att1_price_band__att2_location,0.000000,0.000000,-0.003514
interaction,int_att1_price_band__att3_amenities,0.000000,0.000000,-0.023937
interaction,int_att1_price_band__att4_review_score,0.000000,0.000000,0.029945
interaction,int_att2_location__att3_amenities,0.000000,0.000000,-0.003353
interaction,int_att2_location__att4_review_score,0.000000,0.000000,-0.000978
interaction,int_att3_amenities__att4_review_score,0.000000,0.000000,0.002715
