respondent_id,att0_star_rating_l0,att0_star_rating_l1,att0_star_rating_l2,att0_star_rating_l3,att1_price_band_l0,att1_price_band_l1,att1_price_band_l2,att2_location_l0,att2_location_l1,att3_amenities_l0,att3_amenities_l1,att3_amenities_l2,att4_review_score_l0,att4_review_score_l1,accept_rate
POPULATION,0.337243,0.299290,0.273589,0.313975,0.398981,0.492545,0.378064,0.338284,0.340508,0.306643,0.291776,0.298253,0.317771,0.260836,
R001,0.406783,0.341403,0.240537,0.321178,0.478460,0.583648,0.476229,0.467386,0.343462,0.297894,0.351396,0.341549,0.217210,0.221230,0.2672
R002,0.316788,0.243098,0.335444,0.352623,0.503643,0.514584,0.384371,0.315726,0.550277,0.426110,0.300829,0.270501,0.392611,0.239936,0.2288
R003,0.302016,0.229705,0.157944,0.186118,0.327133,0.503101,0.328492,0.295427,0.317648,0.218274,0.186333,0.326920,0.293215,0.325044,0.2204
R004,0.227577,0.274830,0.240508,0.542597,0.445362,0.589404,0.478782,0.386172,0.416174,0.231165,0.351792,0.276835,0.179945,0.234433,0.2148
R005,0.307733,0.325603,0.281831,0.507423,0.275492,0.515781,0.244803,0.313588,0.354434,0.285704,0.285486,0.277961,0.265326,0.202449,0.3140
R006,0.259960,0.242251,0.259840,0.316861,0.218885,0.528219,0.425918,0.275081,0.309063,0.269378,0.300849,0.251370,0.293275,0.248015,0.2216
R007,0.335594,0.374198,0.315701,0.408396,0.408704,0.607661,0.498040,0.378996,0.385032,0.189627,0.216995,0.258185,0.230060,0.266571,0.1948
R008,0.273954,0.228485,0.189270,0.251554,0.588805,0.571824,0.470065,0.334203,0.294007,0.447734,0.411172,0.461272,0.319876,0.270629,0.2056
R009,0.323856,0.300412,0.504718,0.377367,0.583896,0.557971,0.641494,0.392236,0.286044,0.354071,0.247787,0.327766,0.156208,0.163646,0.2612
R010,0.391574,0.401031,0.286135,0.327845,0.291153,0.377742,0.262193,0.306571,0.615968,0.259627,0.268762,0.286994,0.494174,0.254933,0.2108
R011,0.349492,0.339061,0.330856,0.326355,0.374494,0.563018,0.295910,0.305994,0.425437,0.438722,0.376721,0.310169,0.226507,0.195533,0.1796
R012,0.227500,0.205673,0.194297,0.241282,0.443586,0.396922,0.533395,0.249695,0.502954,0.232227,0.237120,0.226752,0.313812,0.285093,0.2100
R013,0.368801,0.293612,0.211498,0.384736,0.417999,0.450725,0.392301,0.453606,0.277561,0.260808,0.284518,0.242614,0.224121,0.209428,0.2324
R014,0.271089,0.274769,0.172901,0.203115,0.195260,0.533756,0.309358,0.410631,0.576508,0.302201,0.265323,0.403707,0.387838,0.283685,0.2328
R015,0.286724,0.260896,0.239565,0.242849,0.350111,0.539464,0.286640,0.401132,0.293570,0.344729,0.339850,0.271136,0.182527,0.170506,0.2180
R016,0.391723,0.285331,0.249511,0.259148,0.243956,0.260116,0.224970,0.359423,0.421976,0.237694,0.331205,0.341571,0.385919,0.351402,0.2692
R017,0.366465,0.370072,0.250347,0.302629,0.389625,0.554721,0.413915,0.368468,0.278178,0.345772,0.365323,0.239437,0.359692,0.401237,0.1824
