respondent_id,att0_star_rating_l0,att0_star_rating_l1,att0_star_rating_l2,att0_star_rating_l3,att1_price_band_l0,att1_price_band_l1,att1_price_band_l2,att2_location_l0,att2_location_l1,att3_amenities_l0,att3_amenities_l1,att3_amenities_l2,att4_review_score_l0,att4_review_score_l1,accept_rate
POPULATION,0.628343,0.551051,0.361016,0.350489,0.340894,0.318026,0.270185,0.385070,0.408532,0.360601,0.317683,0.345259,0.646931,0.546743,
R001,0.560544,0.398806,0.378168,0.294394,0.336046,0.290438,0.230205,0.295232,0.485947,0.375049,0.321811,0.376997,0.739195,0.565131,0.2920
R002,0.908143,0.654133,0.280666,0.326663,0.277296,0.309788,0.217492,0.286815,0.346730,0.280850,0.323709,0.376305,0.581140,0.592894,0.2724
R003,0.615898,0.386743,0.272260,0.359342,0.237446,0.323529,0.196792,0.837368,0.574764,0.392137,0.395675,0.284986,0.488821,0.503016,0.1872
R004,0.473967,0.304554,0.234030,0.200831,0.328288,0.390344,0.323220,0.285722,0.588317,0.341872,0.247690,0.194689,0.745384,0.592704,0.2860
R005,0.876660,0.747414,0.406013,0.246797,0.354037,0.263829,0.369667,0.193871,0.236737,0.357266,0.253849,0.362537,0.805341,0.760209,0.2068
R006,0.704267,0.490303,0.354401,0.411551,0.386399,0.318676,0.207025,0.284535,0.241683,0.333213,0.114558,0.282883,0.427210,0.805107,0.2284
R007,0.769484,0.548637,0.492685,0.322912,0.364402,0.352848,0.302691,0.457291,0.371952,0.414145,0.306276,0.257752,0.683363,0.375623,0.1900
R008,0.653521,0.867717,0.479763,0.344697,0.214421,0.191910,0.221777,0.452382,0.436945,0.494920,0.442624,0.334017,0.566569,0.660579,0.2172
R009,0.418659,0.558926,0.260776,0.313964,0.254750,0.208286,0.244255,0.179251,0.359128,0.445023,0.214940,0.418811,0.600384,0.661877,0.2396
R010,0.800928,0.524541,0.405567,0.378785,0.423790,0.436484,0.334904,0.425856,0.259307,0.538932,0.327221,0.437127,0.670970,0.422019,0.2052
R011,0.998523,0.578339,0.416615,0.387742,0.326132,0.226673,0.261409,0.308933,0.378543,0.306717,0.284649,0.311986,0.812002,0.595906,0.2268
R012,0.428888,0.437482,0.297435,0.376819,0.281615,0.293819,0.291254,0.476279,0.234681,0.297642,0.239954,0.345599,0.717838,0.518956,0.2668
R013,0.480297,0.367872,0.226066,0.291187,0.345606,0.313235,0.294512,0.272963,0.420658,0.362580,0.331834,0.453587,0.806877,0.640143,0.2396
R014,0.505176,0.531376,0.365452,0.441393,0.398300,0.286400,0.360819,0.247458,0.284251,0.338484,0.261772,0.233762,0.877879,0.423525,0.2972
R015,0.906325,0.918322,0.498076,0.383414,0.405430,0.337111,0.271634,0.301371,0.424988,0.360774,0.289464,0.276628,0.675481,0.680215,0.2196
R016,0.369720,0.390729,0.314052,0.254280,0.563650,0.384808,0.227574,0.411235,0.421732,0.510605,0.270494,0.303300,0.261286,0.224245,0.2404
R017,1.001210,0.666420,0.451997,0.388016,0.357682,0.319946,0.305230,0.421848,0.414596,0.295786,0.385950,0.383465,0.894496,0.578306,0.1548
