respondent_id,att0_star_rating_l0,att0_star_rating_l1,att0_star_rating_l2,att0_star_rating_l3,att1_price_band_l0,att1_price_band_l1,att1_price_band_l2,att2_location_l0,att2_location_l1,att3_amenities_l0,att3_amenities_l1,att3_amenities_l2,att4_review_score_l0,att4_review_score_l1,accept_rate
POPULATION,0.185160,0.080062,-0.035003,0.273384,0.078282,-0.071157,0.117725,0.661487,0.076554,0.538684,-0.023431,-0.108841,0.898418,0.280336,
R001,0.083914,0.097714,-0.394750,-0.423315,1.235149,-0.116528,0.284439,-0.002796,-0.167840,0.873603,-0.121046,0.117547,1.294553,0.127541,0.2912
R002,0.464250,-0.055892,-0.057536,0.500470,-1.107894,-0.487277,-0.272746,0.496499,0.320745,0.237673,-0.603078,-0.843133,1.375329,0.299582,0.3724
R003,0.110262,0.092077,0.033162,0.851182,-1.228260,-0.798715,-0.274072,-0.038133,0.391458,0.588490,0.302610,0.176452,0.590887,0.345258,0.2856
R004,0.191101,0.131712,-0.083609,0.401913,1.373631,-0.016879,0.223024,1.198819,0.044770,0.894940,0.053204,-0.197443,1.237743,0.057957,0.2976
R005,0.294892,-0.104330,-0.072109,-0.165422,-0.215558,0.147769,0.470420,-0.045806,-0.717185,1.011248,0.003140,-0.336613,0.701478,0.815920,0.2180
R006,0.126933,-0.020920,0.308838,0.173389,-0.496251,-0.134052,0.557583,0.964674,-0.011583,0.104525,-0.370229,-1.338721,0.641315,0.609971,0.3452
R007,0.211712,0.158297,0.193718,0.667470,-0.552831,0.674387,0.086310,-0.591720,-0.731357,0.983658,0.028352,-0.254998,1.056634,0.176006,0.3296
R008,0.046859,0.071820,0.009457,0.720691,0.792626,-0.341135,0.573936,0.797475,-0.138853,0.502149,0.571021,-0.348218,1.543496,-0.133339,0.3420
R009,0.057131,0.433609,0.004039,0.277123,0.400980,-0.031654,0.302926,1.530328,-0.116764,0.630012,0.246890,-0.104289,1.222729,-0.088266,0.3252
R010,0.111796,0.544941,-0.102752,0.028949,1.085916,0.031673,0.116979,0.349101,1.060574,0.579593,0.400709,-0.623505,1.114133,0.333634,0.3364
R011,0.118904,0.705061,-0.094362,-0.121613,0.980536,-0.285584,-0.086427,1.199521,0.091977,0.376565,-0.549716,-0.757308,1.165421,0.034430,0.2400
R012,0.098877,0.127202,0.461274,0.533533,-0.708190,0.487199,0.203158,1.080862,0.137766,-0.022272,-0.489827,-0.758955,1.189678,0.402399,0.2748
R013,0.532154,-0.041711,0.051473,0.212537,0.209490,0.117680,0.470742,1.350308,-0.140783,0.506342,-0.104471,0.837874,0.706872,0.341217,0.2804
R014,0.165685,-0.228053,0.171069,0.362853,1.057344,-0.114094,-0.134444,1.245864,0.247060,0.748934,0.160296,-0.429501,1.399618,-0.099486,0.3180
R015,0.054461,0.532453,-0.365050,0.298624,1.255309,0.214149,-0.018637,0.337353,0.557321,0.224900,0.730615,0.049537,0.917708,0.776604,0.2700
R016,0.183243,0.130216,0.037344,0.968341,0.810545,-0.322284,0.006783,0.849140,0.091026,0.949182,-0.214466,-0.275999,0.105464,-0.125341,0.3476
R017,0.579736,-0.166193,-0.192417,0.025085,-0.171936,-0.257304,0.387732,-0.224486,-0.645708,0.210867,-0.488898,-0.737610,0.906269,0.214393,0.3196
R018,-0.016045,-0.026789,0.262953,0.497171,0.895686,0.313019,-0.091820,0.334290,0.884670,0.395914,-0.275172,-0.778059,0.870552,0.653779,0.2800
R019,0.579780,0.121707,0.121955,0.028794,0.988784,-0.064344,0.187910,1.726762,-0.003570,0.886463,0.028336,-0.129747,0.973273,0.304643,0.3392
R020,0.131846,0.047181,-0.044546,1.142984,-0.877096,-0.612414,0.015240,1.386559,-0.026807,0.586955,0.347056,0.469504,0.951798,0.753321,0.3128
R021,0.051412,0.303909,0.207448,-0.078026,1.721233,-0.081795,-0.134684,0.586632,0.499555,0.368851,-0.214586,-0.939706,0.487377,0.683835,0.3436
R022,-0.042641,0.412325,0.014933,0.313405,-0.399088,0.961217,0.086246,0.155048,0.975096,0.271647,-0.751394,-1.013285,0.929589,0.510896,0.2972
R023,0.427559,-0.088473,-0.153273,0.062069,1.259805,0.056859,0.071200,1.093976,-0.110988,0.189793,-0.390543,-0.506292,1.061907,0.342877,0.2948
R024,0.257854,0.541417,-0.324185,0.246371,-0.184860,1.025966,0.085000,0.363742,0.669924,0.323237,-0.170586,1.055288,0.662760,0.868441,0.2980
R025,0.559876,-0.064996,-0.097823,-0.263619,0.087918,-0.081249,0.192964,1.058638,0.117993,0.741048,-0.310719,-0.239471,0.911615,0.735650,0.3076
R026,0.589726,-0.004104,-0.015959,0.490006,-0.131794,-0.008681,0.503537,1.251356,-0.002612,0.443960,0.095028,0.797033,0.816372,0.494004,0.3072
R027,-0.031245,0.374384,-0.375889,0.129087,-1.081237,-0.716327,-0.013964,-0.029383,0.496323,0.535168,0.496732,0.068363,0.501124,0.873377,0.3060
R028,0.068102,0.367037,-0.043398,1.133813,-1.289227,-0.523802,-0.149105,0.496886,0.222160,0.898765,-0.628512,0.212988,0.251323,-0.372083,0.2856
R029,0.161186,0.451384,-0.153684,0.207250,-0.525931,1.027244,0.058516,-0.057548,0.759830,0.175495,0.158200,-0.159165,1.083284,0.336279,0.3256
R030,0.486932,0.066413,0.004959,0.089285,0.007160,-0.141243,0.326650,1.269239,0.250052,0.687256,0.109069,1.057871,0.823332,0.544137,0.3276
R031,0.643303,-0.136869,0.010696,0.207031,0.344560,-0.000498,0.344642,-0.499320,-0.616251,0.060102,-0.079034,-0.051265,1.310960,0.099723,0.3312
