item_id,att0_level,att1_level,att2_level,att3_level,att4_level
I001,0,3,1,1,1
I002,4,0,2,0,0
I003,2,3,2,3,2
I004,3,2,0,3,1
I005,2,1,0,3,2
I006,3,1,2,2,1
I007,2,0,0,2,2
I008,0,3,2,1,1
I009,0,3,2,1,0
I010,4,1,2,2,2
I011,3,0,1,1,1
I012,0,2,0,2,2
I013,4,2,1,3,1
I014,1,3,1,0,1
I015,3,0,1,0,2
I016,2,1,0,2,2
I017,4,1,0,3,1
I018,3,0,0,3,2
I019,2,3,2,1,2
I020,1,0,2,2,0
I021,4,0,2,0,2
I022,3,3,1,1,2
I023,1,3,1,1,1
I024,2,0,0,0,0
I025,2,2,1,1,2
I026,2,0,2,2,1
I027,2,2,0,2,2
I028,1,2,0,1,1
I029,4,0,0,1,2
I030,4,0,0,3,0
I031,4,1,2,1,1
I032,3,0,1,2,2
I033,4,2,1,1,1
I034,4,1,0,1,0
I035,0,0,2,2,2
I036,2,2,0,3,1
I037,4,0,1,2,1
I038,2,0,1,0,0
I039,3,2,1,1,2
I040,0,1,0,1,2
I041,1,3,1,2,1
I042,1,3,2,1,2
I043,1,2,2,1,2
I044,1,0,0,1,2
I045,0,1,2,0,2
I046,1,3,1,2,0
I047,2,3,0,3,1
I048,3,2,1,1,1
I049,0,2,0,2,1
I050,0,3,1,3,0
I051,0,1,0,1,1
I052,0,2,0,0,1
I053,3,0,0,3,2
I054,2,1,1,2,1
I055,1,0,0,3,1
I056,2,1,2,0,0
I057,1,1,2,1,1
I058,4,0,1,2,1
I059,4,1,2,1,1
I060,2,3,1,1,0
I061,1,3,0,3,1
I062,0,1,1,1,0
I063,3,2,0,1,0
I064,3,2,2,3,2
I065,1,0,1,3,2
I066,1,0,0,0,1
I067,2,1,0,3,1
I068,4,3,0,0,2
I069,3,1,1,2,2
I070,1,3,2,0,0
I071,2,0,0,1,2
I072,4,0,2,0,2
I073,4,3,0,3,0
I074,2,1,0,0,2
I075,1,2,1,1,2
I076,0,2,2,1,0
I077,0,3,2,0,0
I078,0,0,2,3,0
I079,3,0,1,2,2
I080,4,0,0,1,0
I081,4,3,0,3,1
I082,2,1,0,3,0
I083,0,0,0,0,0
I084,3,3,0,1,1
I085,4,2,2,2,1
I086,0,3,2,0,2
I087,0,2,2,0,1
I088,0,2,2,0,1
I089,4,1,0,1,1
I090,3,1,2,2,0
I091,4,3,1,0,1
I092,2,0,1,3,0
I093,3,0,2,1,0
I094,4,0,1,0,2
I095,3,3,1,1,1
I096,3,3,0,2,0
I097,1,3,0,3,1
I098,1,1,1,3,1
I099,4,3,2,2,0
I100,2,0,1,3,1
I101,0,2,2,3,0
I102,2,2,0,1,0
I103,4,2,2,3,2
I104,0,3,0,1,1
I105,1,0,0,3,0
I106,1,3,0,3,2
I107,2,0,0,1,1
I108,0,1,0,2,0
I109,3,0,0,0,2
I110,0,1,1,2,2
I111,4,1,2,1,2
I112,2,2,2,3,2
I113,2,0,1,0,2
I114,1,0,0,2,1
I115,4,1,0,0,0
I116,1,3,1,3,0
I117,0,3,0,0,1
I118,4,2,0,3,2
I119,4,3,0,3,0
I120,4,2,2,2,1
I121,3,3,2,0,2
I122,2,1,1,3,2
I123,4,1,2,1,2
I124,3,0,0,0,0
I125,2,1,0,1,1
I126,1,1,1,2,1
I127,3,1,1,1,0
I128,3,0,0,3,2
I129,3,3,2,1,2
I130,1,1,1,3,2
I131,2,2,0,3,1
I132,2,3,1,0,0
I133,0,2,0,0,1
I134,3,2,2,3,0
I135,4,2,1,0,1
I136,3,2,0,2,2
I137,3,0,2,3,0
I138,4,1,1,1,2
I139,4,3,2,3,0
I140,1,2,1,0,0
I141,2,2,0,0,0
I142,2,0,1,1,1
I143,3,2,2,3,2
I144,3,2,1,0,1
I145,0,3,2,0,2
I146,0,2,0,1,1
I147,3,1,2,3,0
I148,3,2,1,2,2
I149,4,3,1,1,2
I150,1,2,0,1,0
I151,4,0,0,3,1
I152,2,2,1,0,2
I153,0,2,2,3,1
I154,3,2,1,0,1
I155,3,3,0,2,2
I156,4,1,0,1,2
I157,4,2,0,0,1
I158,2,0,2,2,0
I159,0,1,2,3,1
I160,1,3,1,1,1
I161,0,1,1,3,2
I162,3,2,0,1,2
I163,0,3,2,1,2
I164,4,0,0,2,2
I165,0,2,0,2,1
I166,0,2,2,3,0
I167,1,0,1,0,2
I168,3,3,0,0,2
I169,1,2,2,0,0
I170,0,0,0,3,1
I171,4,3,2,0,0
I172,4,0,0,2,2
I173,4,3,0,3,2
I174,3,3,2,1,0
I175,2,0,0,0,2
I176,2,2,2,2,1
I177,0,3,1,0,2
I178,3,0,0,0,0
I179,0,2,1,3,2
I180,3,2,0,0,1
I181,0,0,0,3,1
I182,3,1,0,1,0
I183,3,0,1,3,1
I184,2,2,2,1,1
I185,4,2,1,0,0
I186,4,2,0,1,1
I187,2,2,0,2,1
I188,4,0,0,1,1
I189,3,1,2,1,0
I190,0,3,0,3,0
I191,0,1,1,1,2
I192,3,1,1,3,1
I193,0,1,2,0,2
I194,2,2,0,3,0
I195,1,1,1,1,0
I196,1,0,1,1,1
I197,2,2,1,2,1
I198,3,2,0,0,2
I199,1,2,0,1,1
I200,3,2,1,3,1
