respondent_id,item_id,position_row,position_col,scroll_rows_visible,response
R001,I090,2,2,4,neutral
R001,I186,9,0,4,unseen
R001,I191,1,3,4,disliked
R001,I048,7,0,4,unseen
R001,I053,8,2,4,unseen
R001,I029,9,3,4,unseen
R001,I008,5,0,4,unseen
R001,I116,7,1,4,unseen
R001,I028,2,3,4,disliked
R001,I091,4,3,4,unseen
R001,I081,8,1,4,unseen
R001,I144,6,4,4,unseen
R001,I126,7,3,4,unseen
R001,I175,6,1,4,unseen
R001,I086,1,2,4,neutral
R001,I061,7,4,4,unseen
R001,I159,5,1,4,unseen
R001,I100,9,2,4,unseen
R001,I070,4,1,4,unseen
R001,I176,9,4,4,unseen
R001,I002,2,4,4,liked
R001,I169,7,2,4,unseen
R001,I077,6,2,4,unseen
R001,I026,3,4,4,liked
R001,I189,8,3,4,unseen
R001,I015,3,1,4,neutral
R001,I108,5,3,4,unseen
R001,I141,3,3,4,neutral
R001,I155,3,0,4,neutral
R001,I197,2,0,4,liked
R001,I164,6,3,4,unseen
R001,I027,1,4,4,disliked
R001,I193,5,4,4,unseen
R001,I156,4,2,4,unseen
R001,I035,1,0,4,disliked
R001,I153,0,3,4,neutral
R001,I082,2,1,4,liked
R001,I036,9,1,4,unseen
R001,I009,4,0,4,unseen
R001,I122,4,4,4,unseen
R001,I060,8,4,4,unseen
R001,I022,8,0,4,unseen
R001,I096,0,1,4,liked
R001,I072,0,0,4,neutral
R001,I177,1,1,4,liked
R001,I178,0,4,4,disliked
R001,I146,6,0,4,unseen
R001,I047,3,2,4,neutral
R001,I118,0,2,4,disliked
R001,I034,5,2,4,unseen
R001,I002,,,4,chosen
R002,I172,2,0,9,neutral
R002,I160,4,4,9,liked
R002,I013,3,2,9,neutral
R002,I179,2,3,9,neutral
R002,I008,9,2,9,unseen
R002,I017,3,1,9,neutral
R002,I132,4,1,9,disliked
R002,I103,7,0,9,neutral
R002,I193,3,4,9,neutral
R002,I010,4,2,9,neutral
R002,I040,1,2,9,liked
R002,I183,4,3,9,disliked
R002,I050,2,4,9,liked
R002,I053,1,1,9,neutral
R002,I125,6,3,9,disliked
R002,I169,7,3,9,liked
R002,I076,3,3,9,disliked
R002,I022,9,4,9,unseen
R002,I192,4,0,9,liked
R002,I150,7,1,9,liked
R002,I085,7,4,9,neutral
R002,I007,7,2,9,neutral
R002,I165,1,4,9,liked
R002,I131,8,4,9,neutral
R002,I088,6,2,9,liked
R002,I012,5,1,9,liked
R002,I019,9,0,9,unseen
R002,I060,0,1,9,liked
R002,I030,5,2,9,disliked
R002,I185,0,3,9,disliked
R002,I098,8,1,9,liked
R002,I075,6,0,9,disliked
